doctor_name,qualification,specialization,designation,chamber,division,image_url,profile_url,,
Dr. Ashfaq Ahmad,"MBBS, FCPS (ENT)","ENT (Ear, Nose, Throat) Specialist & Head Neck Surgeon",Chittagong Medical College & Hospital,"Associate Professor, ENT",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Ashfaq-Ahmad.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-ashfaq-ahmad/,,
Dr. Md. Minhajul Haque,"MBBS, BCS (Health), FCPS (ENT)","Ear, Nose, Throat Specialist & Head Neck Surgeon",Chittagong General Hospital,"Medical Officer, ENT",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Md.-Minhajul-Haque.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-md-minhajul-haque/,,
Dr. Rupasree Biswas,"MBBS, FCPS (OBGYN)","Gynecology, Obstetrics Specialist & Surgeon",Southern Medical College & Hospital,"Assistant Professor, Gynecology & Obstetrics",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Rupasree-Biswas.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-rupasree-biswas/,,
Dr. Mohammad Khaled Hossain,"MBBS (DMC), BCS (Health), FCPS (Pediatrics)",Child Diseases Specialist,"Parkview Hospital, Chittagong","Consultant, Pediatrics",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Mohammad-Khaled-Hossain.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-mohammad-khaled-hossain/,,
Prof. Dr. Muslim Uddin Sobuj,"MBBS, DCH, MD (Child Health)","Newborn, Adolescent & Child Diseases Specialist",Chittagong Medical College & Hospital,"Professor & Head, Pediatrics",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Prof.-Dr.-Muslim-Uddin-Sobuj.jpg,https://doctorsdirectory.com.bd/add-doctor/prof-dr-muslim-uddin-sobuj/,,
Dr. Mohammadul Haque Mezbah,"MBBS, BCS (Health), DO (BSMMU), MCPS (EYE)",Eye Specialist & Phaco Surgeon,Chittagong Medical College & Hospital,"Consultant, Ophthalmology",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Mohammadul-Haque-Mezbah.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-mohammadul-haque-mezbah/,,
Prof. Dr. Ahmed Sharif,"MBBS, MS (ENT)","ENT (Ear, Nose, Throat) Specialist & Head Neck Surgeon",Chittagong Medical College & Hospital,"Professor & Head, ENT & HNS Department",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Prof.-Dr.-Ahmed-Sharif.jpg,https://doctorsdirectory.com.bd/add-doctor/prof-dr-ahmed-sharif/,,
Dr. Aloke Kumar Raha,"MBBS (Dhaka), MCPS (Medicine), MD (Hepatology)",Liver Diseases Specialist,Chittagong Medical College & Hospital,"Associate Professor & Head, Hepatology",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Aloke-Kumar-Raha.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-aloke-kumar-raha/,,
Dr. Bijan Kumar Nath,"MBBS, FCPS (Surgery)",General & Laparoscopic Specialist Surgeon,"General Hospital, Chittagong","Senior Consultant, Surgery",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Bijan-Kumar-Nath.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-bijan-kumar-nath/,,
Prof. Dr. Md. Mizanur Rahman Chowdhury,"MBBS, MS (Orthopedic), Training in Arthroplasty (India)","Orthopedics (Bone, Joint, Fractures, Sports Injury, Trauma) & Spine Surgeon",Chittagong Medical College & Hospital,"Professor & Head, Orthopedic Surgery",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Md.-Mizanur-Rahman-Chowdhury.jpg,https://doctorsdirectory.com.bd/add-doctor/prof-dr-md-mizanur-rahman-chowdhury/,,
